id,name,categ_id
19684,CARGADOR AUTO PURE GEAR USB 24W NEGRO,ACCESORIO / CARGADOR / PREMIUM
19685,CARGADOR AUTO PUREGEAR 2 PUERTOS,ACCESORIO / CARGADOR / PREMIUM
19691,CARGADOR CARGA RAPIDA 10W C/CABLE MICRO,ACCESORIO / CARGADOR / PREMIUM
19698,CARGADOR DE PARED DIMOVIL USB-C 18W,ACCESORIO / CARGADOR / GENERAL
29451,CARGADOR DE PARED DIMOVIL USB-C 20W,ACCESORIO / CARGADOR / GENERAL
26733,CARGADOR DE PARED SAMSUNG 15W,ACCESORIO / CARGADOR / PREMIUM
19708,CARGADOR DIMOVIL MICRO USB 2.1A,ACCESORIO / CARGADOR / GENERAL
19709,CARGADOR DIMOVIL TIPO C 2.1A,ACCESORIO / CARGADOR / GENERAL
19710,CARGADOR HUAWEI 22.5W BLANCO,ACCESORIO / CARGADOR / PREMIUM
19713,CARGADOR INALAMBRICO SAMSUNG 9W NGO,ACCESORIO / CARGADOR / PREMIUM
19715,CARGADOR MI 20W TIPO C BLANCO,ACCESORIO / CARGADOR / PREMIUM
19716,CARGADOR MI 33W DUAL-PORT BCO,ACCESORIO / CARGADOR / PREMIUM
19717,CARGADOR MI 65W PUERTO C BLANCO,ACCESORIO / CARGADOR / PREMIUM
19718,CARGADOR MI WIRELESS 20W CAR,ACCESORIO / CARGADOR / PREMIUM
19719,CARGADOR MI WIRELESS 20W STAND,ACCESORIO / CARGADOR / PREMIUM
19722,CARGADOR MOREKA TIPO C 3.1A FAST CHARGER,ACCESORIO / CARGADOR / GENERAL
19723,CARGADOR MOREKA V8 3.1A FAST CHARGER,ACCESORIO / CARGADOR / GENERAL
19726,CARGADOR MOTOROLA TIPO C,ACCESORIO / CARGADOR / PREMIUM
19728,CARGADOR MOTOROLA TURBO,ACCESORIO / CARGADOR / PREMIUM
29547,CARGADOR MOTOROLA TURBO POWER 18W MICRO USB,ACCESORIO / CARGADOR / PREMIUM
19730,CARGADOR MOTOROLA TURBO POWER 18W TIPO C,ACCESORIO / CARGADOR / PREMIUM
29548,CARGADOR MOTOROLA TURBO POWER 30W TIPO C,ACCESORIO / CARGADOR / PREMIUM
19732,CARGADOR ORIGINAL SAMSUNG MICRO 2AMP,ACCESORIO / CARGADOR / PREMIUM
19733,CARGADOR ORIGINAL SAMSUNG MICRO USB A C,ACCESORIO / CARGADOR / PREMIUM
19737,CARGADOR PARED DIMOVIL 2 PUERTOS 3.0,ACCESORIO / CARGADOR / GENERAL
19738,CARGADOR PARED HUAWEI 18W TIPO C BLANCO,ACCESORIO / CARGADOR / PREMIUM
19740,CARGADOR PURE GEAR QUICK CHARGER,ACCESORIO / CARGADOR / PREMIUM
19741,CARGADOR SAM USB-C RAPIDO 2AMP NGO,ACCESORIO / CARGADOR / PREMIUM
26732,CARGADOR SAMSUNG 15W C/CABLE USB TIPO C BLANCO,ACCESORIO / CARGADOR / PREMIUM
26731,CARGADOR SAMSUNG 15W C/CABLE USB TIPO C NEGRO,ACCESORIO / CARGADOR / PREMIUM
19744,CARGADOR SAMSUNG 45W C-USB-C BLANCO,ACCESORIO / CARGADOR / PREMIUM
19745,CARGADOR SAMSUNG 45W C-USB-C NEGRO,ACCESORIO / CARGADOR / PREMIUM
19748,CARGADOR SAMSUNG DUAL 35W,ACCESORIO / CARGADOR / PREMIUM
19749,CARGADOR SAMSUNG FAST CHARGE,ACCESORIO / CARGADOR / GENERAL
19705,CARGADOR SAMSUNG PUERTO USB-C 25W BCO,ACCESORIO / CARGADOR / PREMIUM
19706,CARGADOR SAMSUNG PUERTO USB-C 25W NGO,ACCESORIO / CARGADOR / PREMIUM
19751,CARGADOR SAMSUNG TURBO TIPO C,ACCESORIO / CARGADOR / PREMIUM
19754,CARGADOR TIPO MAGSAFE APPLE,ACCESORIO / CARGADOR / PREMIUM
19755,CARGADOR USB ADAPT TYPE C,ACCESORIO / CARGADOR / PREMIUM
39730,CEL MESA EXP 2023,DISPOSITIVO / CELULAR / MESA-EXP
39732,CEL MESA EXP 2023,DISPOSITIVO / CELULAR / MESA-EXP
29541,CONFORT EARBUDS+ NOKIA BLANCO,ACCESORIO / AUDIFONO / PREMIUM
29540,CONFORT EARBUDS+ NOKIA NEGRO,ACCESORIO / AUDIFONO / PREMIUM
40119,CORN 3G-GT10 X/X AZUL,DISPOSITIVO / CELULAR / LIBRE
31395,CORN 3G-GT10 X/X NARANJA,DISPOSITIVO / CELULAR / LIBRE
31393,CORN 3G-GT10 X/X NEGRO,DISPOSITIVO / CELULAR / LIBRE
31394,CORN 3G-GT10 X/X ROJO,DISPOSITIVO / CELULAR / LIBRE
31396,CORN 3G-GT10 X/X VERDE,DISPOSITIVO / CELULAR / LIBRE
19845,CRG VIAJE CUBO+CBL 5V 2 AMP HUAWEI,ACCESORIO / CARGADOR / PREMIUM
30909,DECT. 6.0 DIGITAL CORDELESS PHONE,DISPOSITIVO
19861,DIFUSOR ESFERA CON LUZ CAFÉ CLARO,ACCESORIO / DIFUSOR
19862,DIFUSOR JSQ278 C/LUZ-LED CAFÉ CLARO,ACCESORIO / DIFUSOR
19863,DIFUSOR JSQ281 C/LUZ-LED CAFÉ OSCURO,ACCESORIO / DIFUSOR
19864,DIFUSOR JSQ352 1LITRO,ACCESORIO / DIFUSOR
19866,DIFUSORES JSQ159 CONEJO VARIOS,ACCESORIO / DIFUSOR
19867,DISFUSOR JSQ190 BOLSILLO,ACCESORIO / DIFUSOR
19868,DISFUSOR MOREKA VARIOS COLORES,ACCESORIO / DIFUSOR
19870,DOPPIO F1811 X/X NEGRO KIT,DISPOSITIVO / CELULAR / TELCEL
19871,DOPPIO F1812 X/X NEGRO/ROJO KIT,DISPOSITIVO / CELULAR / TELCEL
19872,DOPPIO GSM-F1811 X/X NEGRO KIT,DISPOSITIVO / CELULAR / TELCEL
19873,EARBUDS INAL STF-ORION BLANCO,ACCESORIO / AUDIFONO / GENERAL
19874,EARBUDS INAL STF-ORION NEGRO,ACCESORIO / AUDIFONO / GENERAL
19876,EARPHONES FRESH XIAOMI 3.5MM NEGRO,ACCESORIO / AUDIFONO / GENERAL
19877,EARPHONES FRESH XIAOMI 3.5MM PLATA,ACCESORIO / AUDIFONO / GENERAL
19881,"ECHO SHOW 5"" ALEXA BLANCA",DISPOSITIVO / IOT
19882,"ECHO SHOW 5"" ALEXA NEGRA",DISPOSITIVO / IOT
19883,"ECHO SHOW 8"" ALEXA BLANCA",DISPOSITIVO / IOT
19884,"ECHO SHOW 8"" ALEXA NEGRA",DISPOSITIVO / IOT
28972,ECHO WALL CLOCK,DISPOSITIVO / IOT
40012,EPIK ONE-K503 1/16 NEGRO,DISPOSITIVO / CELULAR / LIBRE
19888,ESCENCIAS P/HUMIDIFICADOR 10ML AROMAS VA,ACCESORIO / DIFUSOR
40300,FDA APPLE IPAD-9 USORUDO AZUL,ACCESORIO / FUNDA / PREMIUM
40299,FDA APPLE IPAD-9 USORUDO NGO,ACCESORIO / FUNDA / PREMIUM
40301,FDA APPLE IPAD-9 USORUDO RJO,ACCESORIO / FUNDA / PREMIUM
40303,FDA APPLE IPAD-AIR-4 USORUDO AZUL,ACCESORIO / FUNDA / PREMIUM
40302,FDA APPLE IPAD-AIR-4 USORUDO NGO,ACCESORIO / FUNDA / PREMIUM
40304,FDA APPLE IPAD-AIR-4 USORUDO RJO,ACCESORIO / FUNDA / PREMIUM
40309,FDA APPLE IPAD-MINI-5 MANITAS AZUL,ACCESORIO / FUNDA / PREMIUM
40308,FDA APPLE IPAD-MINI-5 MANITAS NGO,ACCESORIO / FUNDA / PREMIUM
40310,FDA APPLE IPAD-MINI-5 MANITAS RJO,ACCESORIO / FUNDA / PREMIUM
40306,FDA APPLE IPAD-MINI-5 USORUDO AZUL,ACCESORIO / FUNDA / PREMIUM
40305,FDA APPLE IPAD-MINI-5 USORUDO NGO,ACCESORIO / FUNDA / PREMIUM
40307,FDA APPLE IPAD-MINI-5 USORUDO RJO,ACCESORIO / FUNDA / PREMIUM
40312,FDA APPLE IPAD-MINI-6 MANITAS AZUL,ACCESORIO / FUNDA / PREMIUM
40311,FDA APPLE IPAD-MINI-6 MANITAS NGO,ACCESORIO / FUNDA / PREMIUM
40313,FDA APPLE IPAD-MINI-6 MANITAS RJO,ACCESORIO / FUNDA / PREMIUM
39752,FDA HONOR X6 SARG-ANILLO AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
39755,FDA HONOR X6 SARG-ANILLO GRIS,ACCESORIO / FUNDA / GENERAL / HONOR A
39753,FDA HONOR X6 SARG-ANILLO NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
39754,FDA HONOR X6 SARG-ANILLO RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
40257,FDA HONOR X6 SARGENTO AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
40256,FDA HONOR X6 SARGENTO NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
40255,FDA HONOR X6 SARGENTO RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
39999,FDA HONOR X6 SILIC.OR AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
40000,FDA HONOR X6 SILIC.OR NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
40001,FDA HONOR X6 SILIC.OR RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
30862,FDA HONOR X7 ARMOR-360 AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
30972,FDA HONOR X7 ARMOR-360 BICOLOR,ACCESORIO / FUNDA / GENERAL / HONOR A
30973,FDA HONOR X7 ARMOR-360 HUMO,ACCESORIO / FUNDA / GENERAL / HONOR A
30861,FDA HONOR X7 ARMOR-360 NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
30863,FDA HONOR X7 ARMOR-360 ROS,ACCESORIO / FUNDA / GENERAL / HONOR A
30860,FDA HONOR X7 ARMOR-360 TRAN,ACCESORIO / FUNDA / GENERAL / HONOR A
30632,FDA HONOR X7 SILIC.OR AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
30634,FDA HONOR X7 SILIC.OR NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
30633,FDA HONOR X7 SILIC.OR RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
30820,FDA HONOR X7 TRAXION AZULM,ACCESORIO / FUNDA / GENERAL / HONOR A
30822,FDA HONOR X7 TRAXION LILA,ACCESORIO / FUNDA / GENERAL / HONOR A
30821,FDA HONOR X7 TRAXION NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
30823,FDA HONOR X7 TRAXION RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
30888,FDA HONOR X7 TRAXION ROS,ACCESORIO / FUNDA / GENERAL / HONOR A
30866,FDA HONOR X8 ARMOR-360 AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
30892,FDA HONOR X8 ARMOR-360 BICOLOR,ACCESORIO / FUNDA / GENERAL / HONOR A
30893,FDA HONOR X8 ARMOR-360 HUMO,ACCESORIO / FUNDA / GENERAL / HONOR A
30865,FDA HONOR X8 ARMOR-360 NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
30867,FDA HONOR X8 ARMOR-360 ROS,ACCESORIO / FUNDA / GENERAL / HONOR A
30864,FDA HONOR X8 ARMOR-360 TRAN,ACCESORIO / FUNDA / GENERAL / HONOR A
40237,FDA HONOR X8 BORDE-METAL AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
40238,FDA HONOR X8 BORDE-METAL NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
40260,FDA HONOR X8 SARGENTO AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
40258,FDA HONOR X8 SARGENTO NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
40259,FDA HONOR X8 SARGENTO RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
30635,FDA HONOR X8 SILIC.OR AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
40003,FDA HONOR X8 SILIC.OR LILA,ACCESORIO / FUNDA / GENERAL / HONOR A
30638,FDA HONOR X8 SILIC.OR MENTA,ACCESORIO / FUNDA / GENERAL / HONOR A
30637,FDA HONOR X8 SILIC.OR NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
30636,FDA HONOR X8 SILIC.OR RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
40002,FDA HONOR X8 SILIC.OR ROS,ACCESORIO / FUNDA / GENERAL / HONOR A
40004,FDA HONOR X9 ARMOR-360 VDE/TORNA,ACCESORIO / FUNDA / GENERAL / HONOR A
31380,FDA HONOR X9 SILIC.OR AZUL,ACCESORIO / FUNDA / GENERAL / HONOR A
31381,FDA HONOR X9 SILIC.OR NGO,ACCESORIO / FUNDA / GENERAL / HONOR A
31382,FDA HONOR X9 SILIC.OR RJO,ACCESORIO / FUNDA / GENERAL / HONOR A
31383,FDA HONOR X9 SILIC.OR ROS,ACCESORIO / FUNDA / GENERAL / HONOR A
30781,FDA IPH 11 TRAXION NGO,ACCESORIO / FUNDA / GENERAL / IPHONE A
30782,FDA IPH 11 TRAXION ROS,ACCESORIO / FUNDA / GENERAL / IPHONE A
31183,FDA IPH 13 SHELL AZUL,ACCESORIO / FUNDA / GENERAL / IPHONE A
31217,FDA IPH 13 SHELL GRIS,ACCESORIO / FUNDA / GENERAL / IPHONE A
31180,FDA IPH 13 SHELL NGO,ACCESORIO / FUNDA / GENERAL / IPHONE A
31181,FDA IPH 13 SHELL ROS,ACCESORIO / FUNDA / GENERAL / IPHONE A
31182,FDA IPH 13 SHELL VDE,ACCESORIO / FUNDA / GENERAL / IPHONE A
30766,FDA IPH 13 TRAXION AZULM,ACCESORIO / FUNDA / GENERAL / IPHONE A
30765,FDA IPH 13 TRAXION NGO,ACCESORIO / FUNDA / GENERAL / IPHONE A
30767,FDA IPH 13 TRAXION RJO,ACCESORIO / FUNDA / GENERAL / IPHONE A
30768,FDA IPH 13 TRAXION ROS,ACCESORIO / FUNDA / GENERAL / IPHONE A
31184,FDA IPH 14 SHELL NGO,ACCESORIO / FUNDA / GENERAL / IPHONE A
31185,FDA IPH 14 SHELL VDE,ACCESORIO / FUNDA / GENERAL / IPHONE A
31286,FDA IPH 14 SPACE TRAN,ACCESORIO / FUNDA / GENERAL / IPHONE A
31186,FDA IPH 14-MAX SHELL NGO,ACCESORIO / FUNDA / GENERAL / IPHONE A
31187,FDA IPH 14-MAX SHELL ROS,ACCESORIO / FUNDA / GENERAL / IPHONE A
31218,FDA IPH 14-MAX SHELL VDE,ACCESORIO / FUNDA / GENERAL / IPHONE A
31287,FDA IPH 14-MAX SPACE TRAN,ACCESORIO / FUNDA / GENERAL / IPHONE A
30774,FDA IPH 14-MAX TRAXION AZULM,ACCESORIO / FUNDA / GENERAL / IPHONE A
30773,FDA IPH 14-MAX TRAXION NGO,ACCESORIO / FUNDA / GENERAL / IPHONE A
